Time,Sensor,Steps
0.033715009689331055,1,0
0.08305764198303223,3,0
0.13344573974609375,3,0
0.1835768222808838,4,0
0.23332929611206055,3,0
0.283557653427124,3,0
0.33370041847229004,3,1
0.3828740119934082,2,1
0.4329216480255127,2,1
0.48310017585754395,3,1
0.5333352088928223,1,1
0.5835573673248291,4,1
0.6336548328399658,2,1
0.6834695339202881,2,1
0.7332775592803955,2,1
0.7834427356719971,4,1
0.8334496021270752,4,1
0.883636474609375,3,2
0.9338138103485107,3,2
0.9830002784729004,2,2
1.0332159996032715,3,2
1.0835261344909668,14,3
1.1337330341339111,20,3
1.1829488277435303,26,3
1.2335484027862549,29,3
1.283860445022583,35,3
1.333066701889038,36,3
1.382896900177002,39,4
1.4336471557617188,44,4
1.4829902648925781,48,4
1.5331954956054688,52,4
1.5832605361938477,56,4
1.6334457397460938,62,4
1.6832294464111328,64,4
1.7334167957305908,65,5
1.7832672595977783,71,5
1.8334667682647705,73,5
1.8832628726959229,78,5
1.9334518909454346,79,5
1.9832241535186768,83,5
2.033419370651245,86,5
2.0836760997772217,89,5
2.133256196975708,92,6
2.1832566261291504,95,6
2.2334468364715576,98,6
2.2833123207092285,105,6
2.333502769470215,105,6
2.3832614421844482,107,6
2.433436870574951,112,6
2.483269691467285,113,6
2.533456563949585,116,6
2.5837483406066895,120,7
2.633718490600586,123,7
2.6838126182556152,126,7
2.7336878776550293,128,7
2.783766984939575,130,7
2.8337254524230957,133,7
2.8837618827819824,136,7
2.93371844291687,137,7
2.9837775230407715,141,7
3.0334506034851074,146,7
3.083843231201172,149,8
3.134132146835327,151,8
3.182981491088867,154,8
3.232994556427002,157,8
3.2833287715911865,158,8
3.333510398864746,164,8
3.3897011280059814,165,8
3.4333200454711914,166,8
3.4835104942321777,169,8
3.5328686237335205,173,8
3.5835866928100586,175,9
3.63374662399292,177,9
3.6834123134613037,180,9
3.7335190773010254,182,9
3.7836596965789795,187,9
3.8332207202911377,187,9
3.8834147453308105,191,9
3.933203935623169,193,9
3.9833977222442627,193,9
4.03331184387207,197,9
4.083512783050537,200,9
4.133478164672852,202,10
4.183629035949707,206,10
4.23320460319519,208,10
4.283414840698242,211,10
4.333429574966431,213,10
4.383603572845459,216,10
4.433305025100708,220,10
4.483060121536255,221,10
4.5333027839660645,224,10
4.583484172821045,226,10
4.633378028869629,229,11
4.683597087860107,232,11
4.733320713043213,233,11
4.783492803573608,237,11
4.833347320556641,241,11
4.8835508823394775,241,11
4.9333765506744385,245,11
4.983560562133789,244,11
5.033589601516724,252,11
5.083795070648193,250,11
5.133552551269531,254,11
5.183733701705933,257,12
5.233330011367798,259,12
5.283545732498169,263,12
5.333314657211304,265,12
5.383498430252075,267,12
5.4333014488220215,269,12
5.483503341674805,272,12
5.533348083496094,273,12
5.5835487842559814,277,12
5.633344888687134,279,12
5.683533668518066,282,13
5.733255386352539,283,13
5.783448934555054,287,13
5.833384037017822,291,13
5.883578300476074,292,13
5.933276414871216,298,13
5.983474016189575,297,13
6.033653020858765,301,13
6.082957983016968,303,13
6.133806467056274,306,14
6.183185815811157,308,14
6.233353614807129,310,14
6.283238172531128,313,14
6.33341383934021,316,14
6.383265256881714,318,14
6.433466911315918,320,14
6.483268737792969,321,14
6.53344988822937,323,14
6.583308696746826,328,14
6.6334826946258545,330,15
6.683261394500732,332,15
6.733450174331665,334,15
6.783257484436035,339,15
6.833443641662598,340,15
6.883258819580078,342,15
6.933446645736694,345,15
6.983277082443237,345,15
7.033447265625,350,15
7.083657264709473,354,15
7.133178472518921,355,16
7.183293342590332,358,16
7.23347806930542,360,16
7.283283948898315,363,16
7.33350133895874,365,16
7.383246660232544,368,16
7.433442831039429,370,16
7.4832680225372314,373,16
7.533461570739746,375,16
7.583274602890015,379,16
7.633472681045532,381,17
7.683282375335693,384,17
7.733924627304077,387,17
7.783275842666626,389,17
7.833468914031982,391,17
7.883280992507935,393,17
7.93348240852356,397,17
7.983281135559082,396,17
8.03346586227417,400,17
8.083296775817871,404,17
8.133798360824585,406,18
8.183278560638428,409,18
8.233487367630005,411,18
8.283301591873169,414,18
8.333494663238525,415,18
8.383280754089355,418,18
8.433475017547607,422,18
8.48328948020935,421,18
8.533534049987793,427,18
8.583293437957764,429,18
8.633474349975586,431,19
8.683296918869019,435,19
8.733470439910889,436,19
8.783283472061157,439,19
8.833487272262573,442,19
8.883285760879517,445,19
8.933485269546509,446,19
8.983286380767822,450,19
9.033472299575806,452,19
9.083295345306396,455,19
9.133760213851929,456,20
9.183292865753174,458,20
9.23346734046936,461,20
9.283340215682983,464,20
9.333534479141235,467,20
9.383267879486084,469,20
9.433467864990234,471,20
9.483305215835571,472,20
9.533535480499268,476,20
9.583312511444092,479,20
9.6334867477417,481,21
9.683313608169556,483,21
9.7335045337677,487,21
9.783320665359497,489,21
9.83351182937622,491,21
9.883285522460938,494,21
9.933502197265625,495,21
9.983294248580933,501,21
10.03347897529602,503,21
10.083330154418945,503,21
10.13380765914917,507,21
10.183332443237305,509,22
10.233502388000488,512,22
10.283313274383545,515,22
10.33351731300354,517,22
10.383302211761475,518,22
10.433494567871094,527,22
10.483313083648682,532,22
10.53349757194519,535,22
10.583338260650635,540,23
10.633624076843262,539,23
10.683327198028564,543,23
10.733508348464966,544,23
10.783308029174805,545,23
10.833483934402466,548,23
10.88348937034607,550,23
10.933686256408691,553,23
10.983394861221313,552,23
11.033576965332031,556,23
11.083312034606934,560,23
11.133809089660645,562,24
11.183327436447144,564,24
11.23351502418518,565,24
11.283333778381348,567,24
11.333510637283325,571,24
11.383329629898071,573,24
11.433508157730103,575,24
11.483322858810425,577,24
11.53351640701294,577,24
11.583324670791626,581,24
11.633500814437866,583,24
11.683337926864624,585,25
11.733516931533813,589,25
11.783324003219604,591,25
11.833509683609009,593,25
11.883324384689331,596,25
11.933504581451416,599,25
11.98344111442566,599,25
12.033659934997559,602,25
12.083349704742432,605,25
12.13382339477539,605,25
12.183318853378296,609,25
12.233495473861694,612,25
12.283243656158447,616,26
12.333423852920532,617,26
12.38340449333191,618,26
12.433593273162842,623,26
12.483403444290161,625,26
12.533576488494873,626,26
12.583357095718384,630,26
12.63353681564331,633,26
12.683373928070068,634,26
12.73356556892395,636,26
12.78335165977478,639,26
12.833528518676758,642,27
12.883219718933105,644,27
12.93339991569519,645,27
12.983290433883667,648,27
13.033478260040283,651,27
13.083305597305298,655,27
13.133798122406006,655,27
13.183295488357544,657,27
13.23348331451416,660,27
13.28332257270813,661,27
13.333517074584961,666,27
13.38328242301941,668,28
13.433478593826294,670,28
13.483301639556885,673,28
13.53348994255066,674,28
13.583318948745728,678,28
13.633509159088135,680,28
13.683316707611084,682,28
13.733495712280273,685,28
13.783322811126709,687,28
13.83349871635437,690,28
13.883293628692627,692,28
13.933484077453613,694,29
13.983318328857422,697,29
14.033488512039185,698,29
14.083305835723877,701,29
14.133766174316406,702,29
14.18330693244934,705,29
14.233494997024536,707,29
14.283318996429443,710,29
14.333501100540161,710,29
14.383282661437988,710,29
14.433463335037231,712,29
14.483301639556885,714,29
14.53351616859436,717,29
14.58330225944519,718,29
14.633481502532959,720,29
14.683337926864624,720,30
14.733518600463867,724,30
14.783284425735474,723,30
14.833473920822144,723,30
14.883324384689331,726,30
14.933502435684204,725,30
14.98329210281372,728,30
15.033469915390015,726,30
15.083301782608032,726,30
15.133774280548096,726,30
15.183300256729126,726,30
15.233473062515259,727,30
15.283305644989014,727,30
15.333487033843994,728,30
15.383297681808472,727,30
15.433491230010986,727,30
15.483296632766724,726,30
15.533478021621704,726,30
15.58329963684082,728,30
15.63347840309143,728,30
15.683298349380493,727,30
15.733486890792847,726,30
15.783299684524536,726,30
15.833477258682251,726,30
15.883338212966919,725,30
15.933518171310425,727,30
15.9833345413208,728,30
16.033538103103638,724,30
16.083314418792725,723,29
16.13380002975464,722,29
16.18330407142639,721,29
16.23348379135132,720,29
16.283304929733276,718,29
16.33349633216858,717,29
16.383315801620483,716,29
16.433496475219727,717,29
16.48331642150879,715,29
16.53349232673645,712,29
16.583298921585083,711,29
16.6334867477417,711,29
16.6833393573761,711,29
16.73354148864746,709,29
16.783358335494995,709,29
16.833528757095337,710,29
16.88331365585327,709,29
16.93350052833557,708,29
16.983340740203857,707,29
17.033530235290527,706,29
17.083354949951172,706,29
17.133801460266113,707,29
17.18336844444275,707,29
17.233554124832153,705,29
17.283361434936523,705,29
17.33354091644287,705,29
17.383403062820435,706,29
17.433574199676514,705,29
17.483399391174316,705,29
17.5335853099823,705,29
17.583430290222168,704,29
17.633665323257446,704,29
17.683438777923584,703,29
17.733615398406982,704,29
17.78346610069275,703,29
17.833650588989258,702,29
17.883429765701294,702,29
17.93361806869507,703,29
17.98344588279724,703,29
18.033620357513428,703,29
18.083415985107422,703,29
18.1339430809021,703,29
18.183434009552002,701,29
18.23360514640808,703,29
18.283422708511353,703,29
18.33359718322754,702,29
18.38343644142151,702,29
18.433616638183594,702,29
18.48343324661255,703,29
18.533623695373535,700,29
18.5834379196167,702,29
18.633612871170044,702,29
18.683425426483154,700,29
18.733610153198242,700,29
18.783451557159424,702,29
18.83362579345703,701,29
18.88342523574829,701,29
18.93360686302185,700,29
18.983479499816895,701,29
19.033665657043457,700,29
19.083459854125977,700,29
19.133909225463867,700,29
19.18343234062195,698,29
19.23360586166382,700,29
19.283429622650146,700,29
19.333619356155396,701,29
19.383468866348267,700,29
19.433647632598877,700,29
19.483444929122925,701,29
19.53364396095276,700,29
19.583474159240723,701,29
19.633656978607178,701,29
19.683366775512695,701,29
19.73355507850647,701,29
19.783329963684082,701,29
19.8335063457489,700,29
19.883484363555908,701,29
19.933687925338745,700,29
19.983505725860596,700,29
20.033694982528687,699,29
20.083494186401367,700,29
20.133960723876953,702,29
20.183511972427368,700,29
20.233697414398193,701,29
20.28347373008728,700,29
20.333654165267944,700,29
20.383474349975586,700,29
20.43364977836609,700,29
20.48347282409668,701,29
20.53366208076477,702,29
20.583457946777344,700,29
20.633684396743774,700,29
20.68346405029297,701,29
20.733646392822266,700,29
20.783477783203125,701,29
20.83366346359253,700,29
20.883477449417114,701,29
